2022-05-25 22:28:09,359 efficientvit_b1 INFO: Start validation, Total sample: 500
2022-05-25 22:28:10,992 efficientvit_b1 INFO: Sample: 1, validation pixAcc: 90.272, mIoU: 35.264
2022-05-25 22:28:11,074 efficientvit_b1 INFO: Sample: 2, validation pixAcc: 87.683, mIoU: 42.242
2022-05-25 22:28:11,140 efficientvit_b1 INFO: Sample: 3, validation pixAcc: 88.879, mIoU: 43.384
2022-05-25 22:28:11,207 efficientvit_b1 INFO: Sample: 4, validation pixAcc: 90.108, mIoU: 44.980
2022-05-25 22:28:11,277 efficientvit_b1 INFO: Sample: 5, validation pixAcc: 90.804, mIoU: 46.192
2022-05-25 22:28:11,346 efficientvit_b1 INFO: Sample: 6, validation pixAcc: 90.477, mIoU: 45.763
2022-05-25 22:28:11,431 efficientvit_b1 INFO: Sample: 7, validation pixAcc: 91.143, mIoU: 46.838
2022-05-25 22:28:11,505 efficientvit_b1 INFO: Sample: 8, validation pixAcc: 90.389, mIoU: 46.005
2022-05-25 22:28:11,588 efficientvit_b1 INFO: Sample: 9, validation pixAcc: 90.482, mIoU: 48.580
2022-05-25 22:28:11,660 efficientvit_b1 INFO: Sample: 10, validation pixAcc: 90.369, mIoU: 48.314
2022-05-25 22:28:11,750 efficientvit_b1 INFO: Sample: 11, validation pixAcc: 90.550, mIoU: 48.956
2022-05-25 22:28:11,827 efficientvit_b1 INFO: Sample: 12, validation pixAcc: 90.179, mIoU: 50.616
2022-05-25 22:28:11,906 efficientvit_b1 INFO: Sample: 13, validation pixAcc: 90.243, mIoU: 51.352
2022-05-25 22:28:11,990 efficientvit_b1 INFO: Sample: 14, validation pixAcc: 90.487, mIoU: 51.749
2022-05-25 22:28:12,058 efficientvit_b1 INFO: Sample: 15, validation pixAcc: 90.615, mIoU: 51.632
2022-05-25 22:28:12,139 efficientvit_b1 INFO: Sample: 16, validation pixAcc: 90.785, mIoU: 51.595
2022-05-25 22:28:12,218 efficientvit_b1 INFO: Sample: 17, validation pixAcc: 90.646, mIoU: 51.804
2022-05-25 22:28:12,310 efficientvit_b1 INFO: Sample: 18, validation pixAcc: 90.849, mIoU: 54.240
2022-05-25 22:28:12,378 efficientvit_b1 INFO: Sample: 19, validation pixAcc: 90.816, mIoU: 54.078
